Unique ID,Elements and their Structure,Description of Interaction (with prompt examples),List of all codes in prompt
28,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Learning Objectives (Implicit);Challenge/Obstacle Types (Clues/Riddles) -> NPC Interaction Style;Progression Mechanics (Finding Clues) -> Scaffolding (Difficulty Increase);Input Modality (Choice/Text) -> Choice & Consequence,"Narrative Framing -> Player Role/Persona: The Narrative Framing of a ""horrible technology/security crime"" in a ""Mystery Mansion🔍"" casts the Player Role/Persona as ""a hacker🖥️"" whose mission is to ""figure out what happened"".\nPlayer Role/Persona -> Learning Objectives (Implicit): As a hacker solving a tech crime (Player Role/Persona), the game implicitly aims to teach ""the player about ethics and security in technology"" (Learning Objectives (Implicit)).\nChallenge/Obstacle Types (Clues/Riddles) -> NPC Interaction Style: The Challenge/Obstacle Type of finding clues is linked to NPC Interaction Style as ""When you ask Detective AI🕵️‍♂️a question, they will only give a riddle as a response. You need to type the answer to the riddle to move forward"".\nProgression Mechanics (Finding Clues) -> Scaffolding (Difficulty Increase): The Progression Mechanics of discovering ""all 5 keys (clues)"" is subject to Scaffolding (or reverse scaffolding) as ""There there will be a gradual increase in difficulty when finding the clues"".\nInput Modality (Choice/Text) -> Choice & Consequence: The player uses Input Modality (choosing actions like ""1️⃣Investigate the office room"" or typing riddle answers) which leads to Choice & Consequence as ""Each action you take impacts the ending"".","Narrative Framing,Player Role/Persona,Learning Objectives (Implicit),Challenge/Obstacle Types,NPC Interaction Style,NPC Presence & Type (Detective AI),Progression Mechanics,Scaffolding,Input Modality,Choice & Consequence,Game Style (Mystery/Investigation),Visual Elements (Emojis)"
29,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Narrative Framing;Narrative Framing -> Customization (Language/Class);NPC Presence & Type -> Instructional Content Delivery;Challenge/Obstacle Types (Boss Fight) -> Assessment (Formative);Error Analysis/Handling (Pedagogical) -> Scaffolding,"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as a ""friendly and fun fantasy adventure narrating bot"" aims to achieve Learning Objectives (Explicit): ""teach them about the following concepts: Variables, Data Types, Loops, Conditionals, Functions..."".\nLearning Objectives (Explicit) -> Narrative Framing: These coding concepts (Learning Objectives (Explicit)) are taught within a Narrative Framing of a ""Fantasy adventure"" with levels and NPC interactions.\nNarrative Framing -> Customization (Language/Class): The fantasy adventure (Narrative Framing) allows Customization: ""Allow the user to select which language they would like to learn... Python, C++, and Javascript"" and ""pick a class from 3 choices. A mage, a warrior, or a cleric"".\nNPC Presence & Type -> Instructional Content Delivery: In each level, an ""npc character that joins the player"" (NPC Presence & Type) provides Instructional Content Delivery: ""have the NPC provide some information on the topic of the level so the student can be given information...before being presented a challenge"".\nChallenge/Obstacle Types (Boss Fight) -> Assessment (Formative): Each level ends with a ""3 stage boss fight that incorporates each part of what they just learned within the level"" (Challenge/Obstacle Type), serving as a form of Assessment (Formative).\nError Analysis/Handling (Pedagogical) -> Scaffolding: If the user answers incorrectly (Error Analysis/Handling (Pedagogical)), the AI should ""provide some feedback but again DO NOT tell them the answer until they have tried or asked for help at least 3 times"", which is a form of Scaffolding. Asking the NPC for help also provides hints.","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,Customization,NPC Presence & Type,Instructional Content Delivery,Challenge/Obstacle Types,Assessment (Formative),Error Analysis/Handling (Pedagogical),Scaffolding,Practice Opportunities,Response Constraints,Response Style"
30,Player Role/Persona -> Narrative Framing;Narrative Framing -> NPC Presence & Type;NPC Presence & Type -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Choice & Consequence (Ingredient Selection);Instructional Content Delivery (Ingredient Descriptions) -> Critical Thinking Tasks;Assessment (Summative) -> Progression Mechanics,"Player Role/Persona -> Narrative Framing: The Player Role/Persona as an ""apprentice apothecary"" sets the Narrative Framing of ""making herbal medicines and potions for ailing customers"".\nNarrative Framing -> NPC Presence & Type: The apothecary shop Narrative Framing involves NPC Presence & Type where ""npcs will come into the store and describe their ailment"".\nNPC Presence & Type -> Challenge/Obstacle Types: Customer ailments (NPC Presence & Type) create Challenge/Obstacle Types as ""It is the players job to create a potion/medicine for the customer depending on their ailment"".\nChallenge/Obstacle Types -> Choice & Consequence (Ingredient Selection): Creating remedies (Challenge/Obstacle Type) involves Choice & Consequence where the player chooses from ""a short list of herbal ingredients...in which certain choices are better than the others and some are completely wrong"".\nInstructional Content Delivery (Ingredient Descriptions) -> Critical Thinking Tasks: The AI provides ""a short description that tells what each [ingredient] do"" (Instructional Content Delivery), which are ""vague enough so that the player has to deduce which ingredients will be best"" (Critical Thinking Tasks).\nAssessment (Summative) -> Progression Mechanics: The Progression Mechanics involve making a ""certain amount of remedies"", after which the player is given a ""final score"" (Assessment (Summative)).","Player Role/Persona,Narrative Framing,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Choice & Consequence,Instructional Content Delivery,Critical Thinking Tasks,Assessment (Summative),Progression Mechanics,Visual Elements (emojis),Response Style (descriptive but concise),Learning Objectives (Implicit: deduction, herbal knowledge)"
31,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Narrative Framing;Narrative Framing -> Customization (Language/Class);NPC Presence & Type -> Scaffolding (Hints);Challenge/Obstacle Types (Boss Fight) -> Assessment (Formative),"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as a ""friendly and fun fantasy adventure narrating bot"" aims for Learning Objectives (Explicit): ""teach them about the following concepts: Variables, Data Types, Loops, Conditionals, Functions..."".\nLearning Objectives (Explicit) -> Narrative Framing: These coding concepts (Learning Objectives (Explicit)) are taught within a Narrative Framing of a ""Fantasy adventure"" with levels and NPC interactions.\nNarrative Framing -> Customization (Language/Class): The fantasy adventure (Narrative Framing) allows Customization: ""Allow the user to select which language they would like to learn... Python, C++, and Javascript"" and ""pick a class from 3 choices. A mage, a warrior, or a cleric"".\nNPC Presence & Type -> Scaffolding (Hints): In each level, an ""npc character that joins the player"" (NPC Presence & Type) can provide Scaffolding: ""If the player gets stuck allow the student to ask the NPC for the level to help him out and provide them with a hint"".\nChallenge/Obstacle Types (Boss Fight) -> Assessment (Formative): Each level ends with a ""3 stage boss fight that incorporates each part of what they just learned within the level"" (Challenge/Obstacle Type), serving as a form of Assessment (Formative).","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,Customization,NPC Presence & Type,Scaffolding,Challenge/Obstacle Types,Assessment (Formative),Instructional Content Delivery (NPC provides info),Practice Opportunities,Error Analysis/Handling (Pedagogical) (feedback before giving answer),Response Constraints,Response Style"
32,Learning Objectives (Explicit) -> Instructional Content Delivery;Instructional Content Delivery -> Visual Elements (Images);Practice Opportunities (Quiz) -> Assessment (Formative);Assessment (Formative) -> Reward System (Badge);Input Modality (Image Upload) -> Reward System (Expert Badge),"Learning Objectives (Explicit) -> Instructional Content Delivery: The Learning Objectives (Explicit) to ""teaches the user about animals"" is achieved through Instructional Content Delivery that includes ""facts about the animal"".\nInstructional Content Delivery -> Visual Elements (Images): The delivery of facts (Instructional Content Delivery) is supported by Visual Elements: ""Make sure to use pictures/images of the animal"".\nPractice Opportunities (Quiz) -> Assessment (Formative): The game includes Practice Opportunities via a ""quiz question to see if the player learned"", which serves as Assessment (Formative).\nAssessment (Formative) -> Reward System (Badge): Correctly answering quiz questions (Assessment (Formative)) leads to a Reward System: ""give them a reward like a badge and display them on the screen"".\nInput Modality (Image Upload) -> Reward System (Expert Badge): A specific Input Modality (""upload a picture of the animal"") leads to a special Reward System element: ""Give player an expert badge"".","Learning Objectives (Explicit),Instructional Content Delivery,Visual Elements,Practice Opportunities,Assessment (Formative),Reward System,Customization (ask for specific animal),Response Constraints,Input Modality"
33,AI Persona/Role (for the bot itself) -> Narrative Framing;Narrative Framing -> Challenge/Obstacle Types (Interview Questions);Challenge/Obstacle Types -> Assessment (Formative) (Rating);Assessment (Formative) -> Assessment (Summative) (Total Score);Assessment (Summative) -> Feedback System (Debrief),"AI Persona/Role (for the bot itself) -> Narrative Framing: The AI Persona/Role as ""a bot that is interviewing the player for a fictional corporate job"" establishes the Narrative Framing of a job interview.\nNarrative Framing -> Challenge/Obstacle Types (Interview Questions): The interview Narrative Framing presents Challenge/Obstacle Types in the form of ""4 questions"" the AI must ask the player.\nChallenge/Obstacle Types -> Assessment (Formative) (Rating): For each question (Challenge/Obstacle Type), the AI must ""discretely rate them on a scale of 1 to 10"" (Assessment (Formative)).\nAssessment (Formative) -> Assessment (Summative) (Total Score): The individual ratings (Assessment (Formative)) are tallied to form an Assessment (Summative): ""tally up all of the points, and if the user has earned more than 35 points, they win"".\nAssessment (Summative) -> Feedback System (Debrief): After the outcome (Assessment (Summative)), the Feedback System involves giving ""the user a thorough examination of what they did right and wrong in the interview process"".","AI Persona/Role (for the bot itself),Narrative Framing,Challenge/Obstacle Types,Assessment (Formative),Assessment (Summative),Feedback System,Response Style (stern),Game Pacing/Flow Control (redirect if off-topic, restart interview),Learning Objectives (Implicit: interview skills)"
34,Player Role/Persona -> Narrative Framing;Narrative Framing -> NPC Presence & Type;NPC Presence & Type -> Instructional Content Delivery;Challenge/Obstacle Types (Puzzles/Spaniards) -> Choice & Consequence;Visual Elements (Emojis) -> Response Style,"Player Role/Persona -> Narrative Framing: The Player Role/Persona as someone guided by ""an Aztec hunter"" establishes the Narrative Framing of exploring ""the Aztec civilization"" and later ""the Spanish conquest"".\nNarrative Framing -> NPC Presence & Type: The Narrative Framing includes NPC Presence & Type where ""NPCs adding dialogue to help with that goal"" of teaching history and culture, and later, ""The Spaniards should come across as harmful"".\nNPC Presence & Type -> Instructional Content Delivery: Interactions with NPCs (NPC Presence & Type) serve as Instructional Content Delivery as they ""teach me about their history and culture"".\nChallenge/Obstacle Types (Puzzles/Spaniards) -> Choice & Consequence: Challenge/Obstacle Types like ""small puzzles related to Aztec history"" or interactions with Spaniards (e.g., ""if the Spaniards are craving gold and we’re carrying some, we can persuade them to free us"") involve Choice & Consequence.\nVisual Elements (Emojis) -> Response Style: The request for ""emojis"" (Visual Elements) is part of the desired Response Style to make ""dialogue expressive and fun"".","Player Role/Persona,Narrative Framing,NPC Presence & Type,NPC Interaction Style,Instructional Content Delivery,Challenge/Obstacle Types,Choice & Consequence,Input Modality (yes/no, dialogue, choices),Visual Elements,Response Style,Progression Mechanics (gradual difficulty),Learning Objectives (Explicit: Aztec history, Spanish conquest),Scaffolding (starts easy)"
35,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Narrative Framing;Narrative Framing -> Customization (Language/Class);NPC Presence & Type -> Instructional Content Delivery;Challenge/Obstacle Types (Boss Fight) -> Assessment (Formative),"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as a ""friendly and fun fantasy adventure narrating bot"" is designed for Learning Objectives (Explicit): to ""teach them about the following concepts: Variables, Data Types, Loops, Conditionals, Functions, Debugging, Comments..."".\nLearning Objectives (Explicit) -> Narrative Framing: These coding concepts (Learning Objectives (Explicit)) are taught within a Narrative Framing of a ""Fantasy adventure"" with levels, NPCs, and bosses.\nNarrative Framing -> Customization (Language/Class): The fantasy Narrative Framing allows Customization: ""Allow the user to select which language they would like to learn... Python, C++, and Javascript"" and ""pick a class from 3 choices. A mage, a warrior, or a cleric"".\nNPC Presence & Type -> Instructional Content Delivery: In each level, an ""npc character that joins the player"" (NPC Presence & Type) provides Instructional Content Delivery by helping ""with obstacles and enemies"" and presumably explaining concepts related to the level's theme.\nChallenge/Obstacle Types (Boss Fight) -> Assessment (Formative): Each level ends with a ""boss fight"" (Challenge/Obstacle Type), which serves as an Assessment (Formative) of the concepts learned in that level.","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,Customization,NPC Presence & Type,Instructional Content Delivery,Challenge/Obstacle Types,Assessment (Formative),Practice Opportunities,Response Constraints,Response Style"
36,Narrative Framing -> Player Role/Persona;NPC Presence & Type -> NPC Interaction Style;NPC Interaction Style -> Critical Thinking Tasks (Ethical Discussion);Choice & Consequence -> Assessment (Implicit);Response Constraints -> AI Persona/Role (for the bot itself),"Narrative Framing -> Player Role/Persona: The Narrative Framing of being ""stuck in a train and you're about to run over five people"" with a lever to switch tracks defines the Player Role/Persona as the decision-maker in a classic trolley problem.\nNPC Presence & Type -> NPC Interaction Style: The NPC Presence & Type of ""Elmo and Kermit"" have a specific NPC Interaction Style: ""They are very loud, angry, and stressed... yelling and even name calling. They actively hate each other"".\nNPC Interaction Style -> Critical Thinking Tasks (Ethical Discussion): Elmo and Kermit's arguments (NPC Interaction Style) (e.g., ""Elmo is pro running over the five people... Kermit thinks that killing one person leads to the least amount of grief"") force the player to engage in Critical Thinking Tasks about the ethics of the situation.\nChoice & Consequence -> Assessment (Implicit): The player's ultimate decision to ""Let the five people die, or kill one person by switching the tracks"" (Choice & Consequence) serves as an Assessment (Implicit) of their moral reasoning, though no explicit scoring is mentioned.\nResponse Constraints -> AI Persona/Role (for the bot itself): The Response Constraint that the AI must ""write these words VERBATIM exactly in quotes"" for the initial setup shapes the AI Persona/Role (for the bot itself) as a strict narrator for that part.","Narrative Framing,Player Role/Persona,NPC Presence & Type,NPC Interaction Style,Critical Thinking Tasks,Choice & Consequence,Assessment (Implicit),Response Constraints,Response Style (for NPCs),Learning Objectives (Implicit: ethical reasoning)"
37,AI Persona/Role (for the bot itself) -> Game Style;Game Style -> Resource Management (Money);Progression Mechanics (Prestige) -> Resource Management;Instructional Content Delivery (Rules) -> Learning Objectives (Explicit);Feedback System (Hand Value/Probability) -> Player Understanding,"AI Persona/Role (for the bot itself) -> Game Style: The AI Persona/Role as ""a bot that is hosting a blackjack table"" establishes the Game Style of a casino game.\nGame Style -> Resource Management (Money): The blackjack game (Game Style) involves Resource Management as ""The player starts with 100 dollars"" and makes bets.\nProgression Mechanics (Prestige) -> Resource Management: The Progression Mechanics of achieving ""a higher level of 'prestige'"" is tied to Resource Management as it costs money (""for the price of 500, doubling every time"").\nInstructional Content Delivery (Rules) -> Learning Objectives (Explicit): Providing ""a small section that briefly explains the rules of blackjack"" (Instructional Content Delivery) serves the Learning Objectives (Explicit) of understanding how to play.\nFeedback System (Hand Value/Probability) -> Player Understanding: The Feedback System includes showing ""the total value of your hand, and the dealers hand"" and ""the probability if the player winning or losing the hand"", which aids player understanding of their situation.","AI Persona/Role (for the bot itself),Game Style,Resource Management,Progression Mechanics,Instructional Content Delivery,Learning Objectives (Explicit),Feedback System,Visual Elements (suite symbols, color changes for prestige),Assessment (Summative: assessment of player actions at end),Choice & Consequence (betting, hitting, standing)"
38,Player Role/Persona -> Narrative Framing;Narrative Framing -> NPC Presence & Type;NPC Interaction Style (Spaniards vs Aztecs) -> Learning Objectives (Implicit);Challenge/Obstacle Types (Puzzles/Spaniards) -> Choice & Consequence;Instructional Content Delivery (History/Culture) -> NPC Presence & Type,"Player Role/Persona -> Narrative Framing: The Player Role/Persona of being led by ""an Aztec hunter"" creates the Narrative Framing of exploring ""the Aztecs civilization"" and their ""history"".\nNarrative Framing -> NPC Presence & Type: The Narrative Framing includes NPC Presence & Type with ""NPCs with dialogues that can help with that objective"" of teaching, and later, ""Spaniards"" who are ""harmful and antagonizing"".\nNPC Interaction Style (Spaniards vs Aztecs) -> Learning Objectives (Implicit): The contrasting NPC Interaction Style where ""Spaniards should come across as harmful...while the Aztecs are kind"" serves the Learning Objectives (Implicit) of understanding the historical conflict from a specific perspective.\nChallenge/Obstacle Types (Puzzles/Spaniards) -> Choice & Consequence: Challenge/Obstacle Types like ""small puzzles...relating to the Aztecs"" or interactions with Spaniards (e.g., ""if we happen to have gold...we can persuade the Spaniard to free us"") involve Choice & Consequence.\nInstructional Content Delivery (History/Culture) -> NPC Presence & Type: The Instructional Content Delivery about ""the Aztecs and their history"" is facilitated by the Aztec hunter guide and other NPC Presence & Type through their dialogues.","Player Role/Persona,Narrative Framing,NPC Presence & Type,NPC Interaction Style,Learning Objectives (Explicit and Implicit),Challenge/Obstacle Types,Choice & Consequence,Input Modality (yes/no, dialogue, choices),Instructional Content Delivery,Game Style (historical exploration)"
39,"Narrative Framing -> Player Role/Persona;World/Setting (Abandoned World) -> Challenge/Obstacle Types (Monsters, Resource Scarcity);Resource Management -> Failure Handling;Game Pacing/Flow Control (Time of Day) -> Challenge/Obstacle Types;Learning Objectives (Explicit) (RV Repair) -> Resource Management","Narrative Framing -> Player Role/Persona: The Narrative Framing where ""you just found a bunker in an abandoned world crawling with monsters"" and the AI ""speak to the user as if its what they are thinking"" establishes a direct and immersive Player Role/Persona.\nWorld/Setting (Abandoned World) -> Challenge/Obstacle Types (Monsters, Resource Scarcity): The ""abandoned world crawling with monsters"" (World/Setting) inherently creates Challenge/Obstacle Types like monster encounters and the need to find ""food, water, meds, or materials"".\nResource Management -> Failure Handling: Resource Management is critical: ""Each day they must consume water and food. If they are injured they must consume a med. If they have none of these they die"" (Failure Handling).\nGame Pacing/Flow Control (Time of Day) -> Challenge/Obstacle Types: Game Pacing/Flow Control is managed by time, as ""as it gets darker it gets more dangerous"", increasing the risk of Challenge/Obstacle Types (monster encounters).\nLearning Objectives (Explicit) (RV Repair) -> Resource Management: The Learning Objectives (Explicit) or goal to ""repair their rv"" directly drives Resource Management as it ""requires a certain amount of materials"" to be found.","Narrative Framing,Player Role/Persona,World/Setting,Challenge/Obstacle Types,Resource Management,Failure Handling,Game Pacing/Flow Control,Learning Objectives (Explicit),Input Modality (logical decisions),Feedback System (inventory updates, time of day)"
40,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Progression Mechanics (Eras);Challenge/Obstacle Types (Minigames) -> Assessment (Formative);Instructional Content Delivery (Composer Info) -> Input Modality (Choice/Free Response);NPC Presence & Type (Composer NPC) -> Scaffolding (Hints);Assessment (Summative) -> Feedback System (Scorecard),"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as ""the host inside of a classical music theory and history game"" has Learning Objectives (Explicit) to teach ""the four eras of classical music...note names...basic terms for music notation"".\nLearning Objectives (Explicit) -> Progression Mechanics (Eras): The game structure follows the Learning Objectives (Explicit) by creating Progression Mechanics where ""The game should be like a pathway starting from baroque"" and moving through eras.\nChallenge/Obstacle Types (Minigames) -> Assessment (Formative): To ""move onto the next classical music era"", the player must complete ""2 minigames of music theory"" (Challenge/Obstacle Types), which serve as Assessment (Formative) for note naming or notation.\nInstructional Content Delivery (Composer Info) -> Input Modality (Choice/Free Response): When learning about composers (Instructional Content Delivery), the game uses Input Modality like ""'guess what happens next'...and the player has to choose from 3 options...or do a free response answer"".\nNPC Presence & Type (Composer NPC) -> Scaffolding (Hints): An NPC Presence & Type, a ""composer from the current era"", provides Scaffolding by giving ""out hints for the music theory minigames"".\nAssessment (Summative) -> Feedback System (Scorecard): The Assessment (Summative) at the end of the game is delivered via a Feedback System: ""print a scorecard that shows a brief summary of what was learned"".","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Progression Mechanics,Challenge/Obstacle Types,Assessment (Formative),Instructional Content Delivery,Input Modality,NPC Presence & Type,Scaffolding,Assessment (Summative),Feedback System,Visual Elements (images of notes/notation),Response Style (enthusiastic),Customization (choice to explore era more)"
41,AI Persona/Role (for the bot itself) -> Narrative Framing;Narrative Framing -> Challenge/Obstacle Types (Quizzes/Mystery Boxes);Challenge/Obstacle Types -> Feedback System;NPC Presence & Type -> Instructional Content Delivery (Tips/Missions);Reward System (Badges) -> Progression Mechanics;Metacognition/Reflection Prompts -> Learning Objectives (Implicit),"AI Persona/Role (for the bot itself) -> Narrative Framing: The AI Persona/Role of ""AstroGuide, your friendly space captain"" sets the Narrative Framing of an ""unforgettable journey"" aboard a ""starship"".\nNarrative Framing -> Challenge/Obstacle Types (Quizzes/Mystery Boxes): The space journey Narrative Framing includes Challenge/Obstacle Types like ""multiple-choice quizzes and mystery boxes that test your knowledge about planetary features"".\nChallenge/Obstacle Types -> Feedback System: For quizzes (Challenge/Obstacle Types), there's a Feedback System providing ""immediate feedback on quiz answers with hints for incorrect responses"".\nNPC Presence & Type -> Instructional Content Delivery (Tips/Missions): NPC Presence & Type like ""Captain Cosmo"" or ""Professor Star"" provide Instructional Content Delivery through ""tips, missions, and mini-quizzes"".\nReward System (Badges) -> Progression Mechanics: Earning ""virtual badges and rewards"" (Reward System) signifies Progression Mechanics as the player successfully completes challenges.\nMetacognition/Reflection Prompts -> Learning Objectives (Implicit): Metacognition/Reflection Prompts like ""What did you find most interesting about Mars?"" encourage deeper processing and support Learning Objectives (Implicit) related to engagement and personal connection to the material.","AI Persona/Role (for the bot itself),Narrative Framing,Challenge/Obstacle Types,Feedback System,NPC Presence & Type,Instructional Content Delivery,Reward System,Progression Mechanics,Metacognition/Reflection Prompts,Visual Elements (emojis),Scaffolding (help screen, hints),Learning Objectives (Explicit: solar system facts),Customization (choice of adventure)"
42,Narrative Framing -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Input Modality (Code);Input Modality (Code) -> Feedback System;Progression Mechanics (Repairing Parts) -> Assessment (Summative),"Narrative Framing -> Learning Objectives (Explicit): The Narrative Framing of repairing a spaceship provides a context for the Learning Objectives (Explicit): ""help students learn how to code in the programming language Python"".\nLearning Objectives (Explicit) -> Challenge/Obstacle Types: Each spaceship part to be repaired corresponds to a ""different programming concept (variables, functions, etc)"" (Learning Objectives (Explicit)), presented as ""programming challenges"" (Challenge/Obstacle Types).\nChallenge/Obstacle Types -> Input Modality (Code): To solve programming challenges (Challenge/Obstacle Types), the user must ""give you code that will attempt to solve the problem"" (Input Modality (Code)).\nInput Modality (Code) -> Feedback System: After code submission (Input Modality (Code)), the AI provides a Feedback System by assessing ""if it correctly solves the problem, give a time complexity analysis"".\nProgression Mechanics (Repairing Parts) -> Assessment (Summative): The Progression Mechanics of repairing all spaceship parts leads to the Assessment (Summative): ""Once the spaceship is fully repaired, display a 'You Win!' message"".","Narrative Framing,Learning Objectives (Explicit),Challenge/Obstacle Types,Input Modality,Feedback System,Progression Mechanics,Assessment (Summative),Instructional Content Delivery (resources at end),Practice Opportunities"
43,Narrative Framing -> Player Role/Persona;World/Setting (Dynamic Dungeon) -> Choice & Consequence;NPC Presence & Type -> NPC Interaction Style;NPC Interaction Style -> Challenge/Obstacle Types OR Reward System;Input Modality (Full Responses) -> Narrative Framing;Resource Management (Stamina) -> Failure Handling,"Narrative Framing -> Player Role/Persona: The Narrative Framing of being a ""stranded explorer in a procedurally shifting dungeon known as “The Echoing Depths”"" establishes the Player Role/Persona and the core survival/exploration theme.\nWorld/Setting (Dynamic Dungeon) -> Choice & Consequence: The World/Setting where ""the walls reshape with every decision, and every action echoes into future consequences"" directly links the environment to Choice & Consequence.\nNPC Presence & Type -> NPC Interaction Style: The dungeon is ""inhabited by island monsters, some hostile, others sentient and friendly, acting as NPCs"" (NPC Presence & Type), leading to varied NPC Interaction Style where they ""offer tools, lore, moral insights, and sometimes ask for help"".\nNPC Interaction Style -> Challenge/Obstacle Types OR Reward System: Friendly NPCs offering tools (NPC Interaction Style) can be part of a Reward System, while hostile ones or those asking for help in return can present Challenge/Obstacle Types or moral dilemmas.\nInput Modality (Full Responses) -> Narrative Framing: The encouragement for Input Modality of ""full responses or commands (for example, 'I approach the glowing creature and ask its name.')"" supports the ""story-driven"" Narrative Framing and player agency.\nResource Management (Stamina) -> Failure Handling: The game includes Resource Management (implied stamina, though not explicitly named as a resource to track, out of stamina"" is a loss condition). Depletion leads to Failure Handling: """"The player loses if they are out of stamina or if slain/dead"""".""","Narrative Framing,Player Role/Persona,World/Setting,Choice & Consequence,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Reward System (tools, lore, achievements),Input Modality,Failure Handling,Resource Management (Stamina implied),Visual Elements (emojis),Response Style (vivid descriptions),Learning Objectives (Implicit: moral complexity, survival)"
44,Learning Objectives (Explicit) -> Game Style (Metropolis Theme);Progression Mechanics (Points/Skyscraper) -> Visual Elements;NPC Presence & Type -> Challenge/Obstacle Types (Quiz Questions);Challenge/Obstacle Types -> Feedback System (Points);Instructional Content Delivery -> Practice Opportunities (Quiz),"Learning Objectives (Explicit) -> Game Style (Metropolis Theme): The Learning Objectives (Explicit) to ""assist users to learn more about c++ programming"" is presented within a ""fun, styled, metropolis-themed experience"" (Game Style).\nProgression Mechanics (Points/Skyscraper) -> Visual Elements: Progression Mechanics are tracked by points (""acquire 100 points to win"") and visualized using Visual Elements: ""use an ascii representation of a tower and a percentage to show the user's progress as a skyscraper"".\nNPC Presence & Type -> Challenge/Obstacle Types (Quiz Questions): Before each quiz, an NPC (NPC Presence & Type) ""starts a dialogue relevant to the current room"" and then ""give the user a question"" (Challenge/Obstacle Type) related to C++ concepts or previous answers.\nChallenge/Obstacle Types -> Feedback System (Points): Answering quiz questions (Challenge/Obstacle Types) results in a Feedback System where ""Each correct answer...will award them with 10 points, and answering incorrectly will deduct 5 points"".\nInstructional Content Delivery -> Practice Opportunities (Quiz): The AI first gives ""users information about a command"" (Instructional Content Delivery), then provides Practice Opportunities by quizzing ""them on the information provided"".","Learning Objectives (Explicit),Game Style,Progression Mechanics,Visual Elements,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Feedback System,Instructional Content Delivery,Practice Opportunities,Scaffolding (difficulty increases with points),Customization (choice of topics/rooms),Response Constraints,Visual Elements (emojis)"
45,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Challenge/Obstacle Types (Finding Clues);Challenge/Obstacle Types -> NPC Presence & Type (Detective AI);NPC Interaction Style (Riddles) -> Critical Thinking Tasks;Progression Mechanics (5 Keys) -> Assessment (Summative) (Solve Mystery),"Narrative Framing -> Player Role/Persona: The Narrative Framing of a ""horrible technology/security crime"" in a ""Mystery Mansion🔍"" casts the Player Role/Persona as ""a hacker🖥️"" whose mission is to ""figure out what happened"".\nPlayer Role/Persona -> Challenge/Obstacle Types (Finding Clues): As a hacker (Player Role/Persona), the main Challenge/Obstacle Type is to find ""clues🗝️in various places"" and ""unlock the secret password📜"".\nChallenge/Obstacle Types -> NPC Presence & Type (Detective AI): Finding clues (Challenge/Obstacle Types) is aided (or complicated) by an `NPC Presence & Type
46,Game Style (Slot Machine) -> Challenge/Obstacle Types (Spinning);Challenge/Obstacle Types -> Feedback System (Win/Loss Message);Reward System (Winning 3 times) -> Failure Handling (Ban);Input Modality (Specific Command """"spin"""") -> Game Pacing/Flow Control;Customization (Cheat Mode """"skibgea"""") -> Reward System (Guaranteed Win)""",
